"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym","org_v6_id"
"18764","Amundamon","Amundamon","0",,,"100L","65"
"18779","Arturo Mardalis","Arturo Mardalis","0",,,"100L","65"
"18716","Baboson","Baboson","0",,,"100L","65"
"18717","Balut Cuniescu","Balut Cuniescu","0",,,"100L","65"
"18747","Beto Segovia","Beto Segovia","0",,,"100L","65"
"18756","Brian Sanchez","Brian Sanchez","0",,,"100L","65"
"18718","Burro Santillana","Burro Santillana","0",,,"100L","65"
"18719","Cara de Mascara","Cara de Mascara","0",,,"100L","65"
"18749","Chucho Baigorria","Chucho Baigorria","0",,,"100L","65"
"18754","Chulo","Chulo","0",,,"100L","65"
"18743","Delivery Boy","Delivery Boy","0",,,"100L","65"
"18854","Dick Sato","Dick Sato","0",,,"100L","65"
"18746","Dimitri Kazov","Dimitri Kazov","0",,,"100L","65"
"18720","Dorival Santos","Dorival Santos","0",,,"100L","65"
"18721","Dr. Calambre","Dr. Calambre","0",,,"100L","65"
"18722","El Primo","El Primo","0",,,"100L","65"
"18723","Fabrizzio Delmonico","Fabrizzio Delmonico","0",,,"100L","65"
"18750","Felino","Felino","0",,,"100L","65"
"18726","Fiscal Brunetti","Fiscal Brunetti","0",,,"100L","65"
"18775","Fulgencio Mejia","Fulgencio Mejia","0",,,"100L","65"
"18727","Gorutta Jones","Gorutta Jones","0",,,"100L","65"
"18728","Hip Hop Man","Hip Hop Man","0",,,"100L","65"
"18729","Huevo Gutierrez","Huevo Gutierrez","0",,,"100L","65"
"18752","Johny Wave","Johny Wave","0",,,"100L","65"
"18730","Jorge Torresi","Jorge Torresi","0",,,"100L","65"
"18777","Karnak Chain","Karnak Chain","0",,,"100L","65"
"18780","Khumo","Khumo","0",,,"100L","65"
"18731","La Masa","La Masa","0",,,"100L","65"
"18751","Manolo Murrieta","Manolo Murrieta","0",,,"100L","65"
"18773","Mario Moran","Mario Moran","0",,,"100L","65"
"18742","Mc Floyd","Mc Floyd","0",,,"100L","65"
"18774","Megabyte Fighter","Megabyte Fighter","0",,,"100L","65"
"19092","Milo Platao","Milo Platao","0",,,"100L","65"
"18770","Molok","Molok","0",,,"100L","65"
"18732","Mosca","Mosca","0",,,"100L","65"
"18733","Mugre","Mugre","0",,,"100L","65"
"18734","Musambe Tutu","Musambe Tutu","0",,,"100L","65"
"18755","Nube Oscura","Nube Oscura","0",,,"100L","65"
"18735","Ofidius","Ofidius","0",,,"100L","65"
"18736","Ricky Dragone","Ricky Dragone","0",,,"100L","65"
"18748","Ron Doxon","Ron Doxon","0",,,"100L","65"
"18737","Rotwailer","Rotwailer","0",,,"100L","65"
"18783","Ruben Peucelle","Ruben Peucelle","0",,,"100L","65"
"18753","Rulo Verde","Rulo Verde","0",,,"100L","65"
"18761","Shuto Omori","Shuto Omori","0",,,"100L","65"
"18738","Sir Peter Lawrence","Sir Peter Lawrence","0",,,"100L","65"
"18739","Sodrak","Sodrak","0",,,"100L","65"
"18866","Suplente Mascarado","Suplente Mascarado","0",,,"100L","65"
"18744","Teniente Murphy","Teniente Murphy","0",,,"100L","65"
"18740","Tito Moran","Tito Moran","0",,,"100L","65"
"18745","Torticolis","Torticolis","0",,,"100L","65"
"18758","Utur Habbibi","Utur Habbibi","0",,,"100L","65"
"18741","Vicente Viloni","Vicente Viloni","0",,,"100L","65"
"18768","Zamor","Zamor","0",,,"100L","65"
"44268","2 Cold Scorpio","2 Cold Scorpio","0",,,"1PW","28"
"44269","Aaron James","Aaron James","0",,,"1PW","28"
"44270","Abyss","Abyss","0",,,"1PW","28"
"53816","Ace Austin","Ace Austin","0",,,"1PW","28"
"53828","Ace Matthews","Ace Matthews","0",,,"1PW","28"
"44271","Adam Curtis","Adam Curtis","0",,,"1PW","28"
"44272","Adam Steel","Adam Steel","0",,,"1PW","28"
"44273","AJ Styles","AJ Styles","0",,,"1PW","28"
"44274","Al Snow","Al Snow","0",,,"1PW","28"
"53818","Alex Hammerstone","Alex Hammerstone","0",,,"1PW","28"
"53827","Amir Jordan","Amir Jordan","0",,,"1PW","28"
"44275","Andy Boy Simmonz","Andy Boy Simmonz","0",,,"1PW","28"
